,Date,Category,Payment Mode,Description,Amount,Cashback
63,2024-06-05,Transport,Credit Card,fuel at Gill Group,244.03,0.8
64,2024-06-08,Subscriptions,UPI,audible Jones Inc,981.86,0.83
65,2024-06-22,Subscriptions,Credit Card,Netflix Davis Ltd,614.53,3.81
66,2024-06-04,Bills,Cash,water bill Mendez-Hebert,337.85,0.0
67,2024-06-13,Subscriptions,UPI,Netflix Anderson Group,705.6,3.96
68,2024-06-10,Shopping,Cash,Shoes nike Mason-Martinez,882.76,0.0
69,2024-06-23,Groceries,Credit Card,Oil 5 lit Barker-Martinez,505.43,0.0
70,2024-06-18,Groceries,Credit Card,"Sugar 2kg Rice, Robinson and Mathis",129.23,2.35
71,2024-06-24,Medicine,UPI,"Digine Vega, Hunter and Cortez",849.18,3.08
72,2024-06-22,Subscriptions,Credit Card,"Netflix Moore, Wilson and Garcia",385.73,1.15
73,2024-06-21,Medicine,UPI,Paracetamol Kelley-Knight,722.45,2.2
74,2024-06-17,Medicine,Debit Card,bandage Baker-Smith,172.1,0.0
75,2024-06-19,Medicine,Cash,Antacid Cohen Ltd,992.27,0.0
76,2024-06-21,Bills,Cash,electricity bill Walker Group,887.26,0.0
77,2024-06-29,entertainment,Debit Card,Games Gilmore-Crawford,583.92,0.0
78,2024-06-02,Subscriptions,UPI,Netflix Thompson Ltd,372.33,3.01
79,2024-06-21,Groceries,Credit Card,Oil 5 lit Reyes Group,272.86,0.64
80,2024-06-06,Subscriptions,Credit Card,"Hotstar Goodman, George and Garcia",253.91,0.25
81,2024-06-13,Subscriptions,Credit Card,"audible Patterson, Kim and Morris",643.4,0.27
82,2024-06-07,Medicine,Credit Card,"Bitadine Martin, Kennedy and Jackson",859.42,3.84
83,2024-06-24,Subscriptions,Debit Card,"SonyLiv Hernandez, Houston and Bennett",728.67,0.0
84,2024-06-11,Medicine,Credit Card,Digine Hart-Khan,340.48,3.05
85,2024-06-11,Bills,Cash,"gas bill Patel, Rhodes and Mcclain",75.59,0.0
86,2024-06-19,Subscriptions,UPI,audible Lane Inc,518.34,4.8
87,2024-06-12,Groceries,Debit Card,Milk 2 lit York-Cunningham,762.04,0.0
88,2024-06-13,Bills,UPI,gas bill Adams Inc,500.57,2.98
89,2024-06-03,entertainment,Debit Card,"Movie Roberts, Walker and Lewis",521.14,0.0
90,2024-06-28,Groceries,Cash,Milk 2 lit Tucker-Atkinson,10.42,0.0
91,2024-06-25,Medicine,Cash,Digine Perkins PLC,67.66,0.0
92,2024-06-25,entertainment,Debit Card,Games Becker Ltd,23.2,0.0
93,2024-06-24,Subscriptions,Credit Card,SonyLiv Thomas Ltd,755.9,2.84
94,2024-06-02,Shopping,Debit Card,"electronics flipkart Rodgers, Gregory and Gonzalez",209.96,0.0
95,2024-06-14,Medicine,Cash,Paracetamol Gray Inc,85.1,0.0
96,2024-06-05,Groceries,Cash,Rice 5 kg Webb-Johnson,887.02,0.0
97,2024-06-22,entertainment,UPI,"Club Butler, Garcia and Coleman",623.91,2.48
98,2024-06-12,entertainment,UPI,Movie Young Group,582.21,3.42
99,2024-06-17,Bills,Debit Card,electricity bill Gamble Ltd,807.72,0.0
100,2024-06-08,Groceries,UPI,"Rice 5 kg Wilson, Rhodes and Kramer",657.84,3.16
101,2024-06-15,Groceries,Credit Card,Sugar 2kg Patel and Sons,618.19,0.72
102,2024-06-08,Transport,Cash,bus fare to Brown-Melton,724.45,0.0
103,2024-06-09,Subscriptions,Debit Card,"Prime Jones, Baker and Underwood",943.03,0.0
104,2024-06-22,Shopping,Credit Card,electronics flipkart Watts-Hess,71.77,2.54
105,2024-06-26,Transport,Debit Card,"train ticket to Rodriguez, Jones and Jones",118.73,0.0
106,2024-06-03,Groceries,Debit Card,Milk 2 lit Garcia-Mathews,572.09,0.0
107,2024-06-26,Medicine,UPI,"Digine Bauer, Robertson and Gardner",743.14,1.29
108,2024-06-27,Subscriptions,Credit Card,"SonyLiv Warren, Stewart and Cooper",390.82,1.06
109,2024-06-29,Shopping,UPI,"Shoes nike Acosta, Stanley and Green",171.49,3.77
110,2024-06-03,Shopping,UPI,clothes Myntra Walker-Burke,120.16,1.29
111,2024-06-08,Groceries,Debit Card,Sugar 2kg Bird PLC,443.33,0.0
112,2024-06-18,Medicine,Cash,Paracetamol West-Walker,715.73,0.0
113,2024-06-13,Subscriptions,Debit Card,SonyLiv Richardson-Terry,923.58,0.0
114,2024-06-21,entertainment,Debit Card,Club Graham-Burgess,976.15,0.0
115,2024-06-07,Groceries,Cash,Oil 5 lit Villegas-Garcia,960.97,0.0
116,2024-06-25,entertainment,Cash,"Games Bowers, Petersen and Rodriguez",233.89,0.0
117,2024-06-19,Transport,Debit Card,bus fare to Travis LLC,771.45,0.0
118,2024-06-15,Medicine,Credit Card,Digine Holmes Ltd,66.46,0.26
119,2024-06-08,Medicine,Credit Card,"Digine Clay, Hess and Lucero",418.5,3.88
