,Date,Category,Payment Mode,Description,Amount,Cashback
66,2024-02-04,Shopping,UPI,electronics flipkart Foster Inc,487.68,1.06
67,2024-02-24,entertainment,Credit Card,"Club Cruz, Tucker and Little",945.66,0.06
68,2024-02-02,Bills,Credit Card,water bill Smith Inc,588.83,2.35
69,2024-02-12,Medicine,Credit Card,"Antacid Evans, Mcdowell and Smith",140.17,0.07
70,2024-02-08,Transport,Cash,"ride-sharing to Hernandez, Rodriguez and Lopez",607.45,0.0
71,2024-02-16,Medicine,UPI,"Paracetamol Dominguez, Weaver and Beck",94.78,1.37
72,2024-02-15,Groceries,Credit Card,Oil 5 lit Smith PLC,75.34,1.39
73,2024-02-04,Shopping,Cash,clothes Myntra Levy Inc,131.7,0.0
74,2024-02-22,Subscriptions,Credit Card,"SonyLiv Harrell, Ramirez and Gonzalez",19.15,0.72
75,2024-02-15,Groceries,Credit Card,Oil 5 lit Green Inc,333.28,2.76
76,2024-02-01,Subscriptions,UPI,Prime Jenkins Ltd,898.45,4.15
77,2024-02-19,Shopping,UPI,"clothes Myntra Griffith, Gallagher and Navarro",580.92,2.31
78,2024-02-04,Groceries,Credit Card,"Aatta 5kg Rangel, Spencer and Rowe",79.58,2.82
79,2024-02-01,Transport,Debit Card,"bus fare to Bishop, Daniels and Ford",372.19,0.0
80,2024-02-11,Shopping,Cash,gifts local Anderson-Martinez,606.88,0.0
81,2024-02-01,entertainment,Cash,"Movie Phillips, Meadows and Daniel",805.19,0.0
82,2024-02-06,Shopping,Debit Card,gifts local Massey PLC,473.53,0.0
83,2024-02-28,Transport,Debit Card,"train ticket to Smith, Swanson and Lewis",464.67,0.0
84,2024-02-21,Bills,Debit Card,"electricity bill Baker, Smith and Cardenas",342.53,0.0
85,2024-02-10,Transport,Credit Card,ride-sharing to Ellis Ltd,509.18,0.87
86,2024-02-23,Shopping,Credit Card,"clothes Myntra Thompson, Woods and Gray",857.4,3.28
87,2024-02-13,entertainment,Credit Card,Games Graham-Mcdonald,774.34,0.47
88,2024-02-23,Bills,Credit Card,phone bill Rodriguez and Sons,49.78,3.04
89,2024-02-28,Transport,Debit Card,fuel at Thompson LLC,82.33,0.0
90,2024-02-05,Groceries,Credit Card,Rice 5 kg Perry Group,196.62,1.47
91,2024-02-01,Medicine,Debit Card,Antacid Edwards Inc,603.12,0.0
92,2024-02-15,Subscriptions,UPI,Prime Moore Group,568.54,4.75
93,2024-02-20,Subscriptions,Credit Card,Prime Costa PLC,263.34,0.01
94,2024-02-19,Subscriptions,UPI,"Netflix Moore, Todd and Banks",305.03,0.2
95,2024-02-28,Bills,Debit Card,gas bill Harris PLC,826.79,0.0
96,2024-02-23,entertainment,UPI,Club Pollard-Reeves,698.84,0.38
97,2024-02-16,Shopping,Credit Card,Shoes nike Moore Ltd,311.9,2.4
98,2024-02-18,Bills,Cash,"internet bill Martin, Lee and Waller",252.78,0.0
99,2024-02-01,Groceries,Cash,Oil 5 lit Jensen-Austin,603.38,0.0
100,2024-02-07,Bills,Cash,"gas bill Hill, Cantrell and Kemp",728.18,0.0
101,2024-02-28,entertainment,Debit Card,"Club Hurley, Chambers and Mcfarland",719.87,0.0
102,2024-02-24,Shopping,Credit Card,"Shoes nike Larsen, Torres and Boone",12.99,3.9
103,2024-02-09,Subscriptions,Debit Card,"SonyLiv Davis, Zuniga and Decker",454.71,0.0
104,2024-02-02,Groceries,Credit Card,Oil 5 lit Wilcox Ltd,727.52,1.57
105,2024-02-26,Transport,UPI,ride-sharing to Collier LLC,342.25,0.28
106,2024-02-19,Groceries,Debit Card,Sugar 2kg Peterson PLC,935.07,0.0
107,2024-02-24,Transport,Cash,taxi ride to Walters-Mcguire,660.35,0.0
108,2024-02-17,Transport,Cash,"ride-sharing to Avery, Larsen and Campbell",884.88,0.0
109,2024-02-14,Subscriptions,UPI,SonyLiv Jones Inc,860.39,4.07
110,2024-02-10,Transport,Cash,taxi ride to Alexander Ltd,612.27,0.0
111,2024-02-26,Bills,Debit Card,water bill Chen and Sons,173.8,0.0
112,2024-02-08,Subscriptions,UPI,"Prime Harris, Patterson and Black",321.06,3.81
113,2024-02-08,Transport,Debit Card,bus fare to Robertson-Huber,969.39,0.0
114,2024-02-12,Groceries,UPI,Aatta 5kg Carlson LLC,117.58,1.25
115,2024-02-11,Medicine,Credit Card,Antacid Erickson Inc,925.9,0.46
116,2024-02-03,Transport,UPI,fuel at Shea-Austin,625.72,1.42
117,2024-02-12,Shopping,UPI,electronics flipkart Flores Ltd,712.33,0.4
118,2024-02-05,Transport,Cash,ride-sharing to Curry Group,208.96,0.0
119,2024-02-23,Groceries,Debit Card,"Milk 2 lit Whitehead, Wolf and Johnson",276.93,0.0
