,Date,Category,Payment Mode,Description,Amount,Cashback
61,2024-10-21,Shopping,UPI,electronics flipkart Torres-Ortega,255.24,2.0
62,2024-10-12,entertainment,UPI,Games Evans Inc,596.13,3.12
63,2024-10-14,Subscriptions,UPI,SonyLiv Schneider PLC,207.18,3.86
64,2024-10-04,Transport,Cash,"train ticket to Rogers, Palmer and Morgan",222.76,0.0
65,2024-10-26,Shopping,Credit Card,gifts local Brown PLC,553.21,4.28
66,2024-10-12,Transport,Cash,bus fare to Fisher-Gordon,172.69,0.0
67,2024-10-11,Medicine,Cash,"Paracetamol Robinson, King and Perez",530.93,0.0
68,2024-10-24,Shopping,Cash,"Shoes nike Nguyen, Davis and Coleman",943.08,0.0
69,2024-10-28,Shopping,Cash,"electronics flipkart Fitzgerald, Powell and Myers",469.58,0.0
70,2024-10-11,entertainment,Debit Card,concert Pratt Ltd,172.83,0.0
71,2024-10-11,entertainment,UPI,"Club Stone, Hughes and Bryan",762.35,3.22
72,2024-10-04,Groceries,Debit Card,"Milk 2 lit Herman, Dillon and Mason",541.58,0.0
73,2024-10-05,Subscriptions,Debit Card,audible Burns PLC,606.61,0.0
74,2024-10-13,Groceries,UPI,Sugar 2kg Koch Group,654.18,1.29
75,2024-10-06,Subscriptions,Debit Card,"SonyLiv Bell, Stewart and Carter",948.24,0.0
76,2024-10-21,Groceries,UPI,"Oil 5 lit Guzman, Payne and Williams",636.53,3.28
77,2024-10-25,Subscriptions,Credit Card,"Prime Jordan, Delgado and Landry",932.28,0.55
78,2024-10-02,Shopping,Debit Card,"electronics flipkart Barnett, Fuller and Cooley",801.58,0.0
79,2024-10-15,Groceries,UPI,"Aatta 5kg Yates, Smith and Yang",919.56,4.4
80,2024-10-10,Transport,Debit Card,taxi ride to Wu-Wu,324.92,0.0
81,2024-10-10,Transport,Cash,taxi ride to Singleton Group,498.26,0.0
82,2024-10-10,Groceries,Debit Card,Milk 2 lit Guzman Group,752.65,0.0
83,2024-10-25,Groceries,UPI,"Rice 5 kg Walker, Harrison and Moore",923.73,4.09
84,2024-10-29,Transport,Credit Card,ride-sharing to Wolf-Pratt,820.86,0.54
85,2024-10-18,Medicine,UPI,Paracetamol Brock Group,13.27,0.38
86,2024-10-06,Transport,Cash,fuel at Morales-Burnett,857.7,0.0
87,2024-10-23,Subscriptions,Debit Card,SonyLiv Stewart-Jones,163.48,0.0
88,2024-10-13,entertainment,Credit Card,Games Jackson-Newman,943.86,2.81
89,2024-10-14,Bills,Credit Card,water bill Bell Ltd,116.1,4.0
90,2024-10-18,Shopping,Credit Card,Shoes nike Hall-Lowe,385.84,3.35
91,2024-10-10,Groceries,Debit Card,Rice 5 kg Hurley-Dillon,240.64,0.0
92,2024-10-27,Bills,Debit Card,gas bill Myers-Phillips,844.14,0.0
93,2024-10-09,Bills,UPI,phone bill Jones LLC,122.25,1.84
94,2024-10-07,Bills,UPI,phone bill Morales-David,779.34,4.39
95,2024-10-07,Subscriptions,Cash,"SonyLiv Mcdowell, Davidson and Hernandez",850.99,0.0
96,2024-10-23,Bills,Debit Card,gas bill Rosales PLC,534.94,0.0
97,2024-10-19,Bills,UPI,electricity bill Miller-Mitchell,845.1,3.54
98,2024-10-15,Bills,Cash,"water bill Jones, Wilson and Brown",405.3,0.0
99,2024-10-25,Subscriptions,UPI,SonyLiv Hatfield-Martinez,633.09,3.7
100,2024-10-11,entertainment,Credit Card,Club Mack Inc,67.78,1.25
101,2024-10-17,entertainment,Cash,concert Newman LLC,185.19,0.0
102,2024-10-19,Transport,Debit Card,bus fare to Marquez-Taylor,954.5,0.0
103,2024-10-18,Bills,UPI,phone bill Green-Baker,422.55,4.69
104,2024-10-21,Shopping,Debit Card,gifts local Scott Group,441.36,0.0
105,2024-10-07,entertainment,Debit Card,Movie Peck-Brown,945.55,0.0
106,2024-10-07,Bills,Credit Card,"internet bill Anderson, Pierce and Vang",15.3,0.44
107,2024-10-12,Subscriptions,Debit Card,Hotstar Webb-Bryant,845.77,0.0
108,2024-10-23,Transport,Debit Card,bus fare to Hancock PLC,57.66,0.0
109,2024-10-24,Groceries,Credit Card,"Rice 5 kg Castro, Rodriguez and Wright",323.61,4.79
110,2024-10-16,entertainment,Cash,"Club Smith, Reynolds and Perez",195.93,0.0
111,2024-10-10,Groceries,Debit Card,"Rice 5 kg Garcia, Hicks and Miller",935.99,0.0
112,2024-10-10,Transport,Debit Card,"taxi ride to Evans, Reed and Martinez",40.48,0.0
113,2024-10-05,Shopping,Debit Card,electronics flipkart Jordan LLC,780.68,0.0
114,2024-10-19,Bills,Cash,gas bill Martin-Clarke,819.95,0.0
115,2024-10-03,Groceries,Debit Card,Aatta 5kg Smith-Roman,436.46,0.0
116,2024-10-11,Transport,Cash,bus fare to Joseph-Cox,446.51,0.0
117,2024-10-18,Bills,Debit Card,electricity bill Johnson-Monroe,407.67,0.0
118,2024-10-05,Shopping,Credit Card,"gifts local Savage, Kelly and Wilson",869.64,1.95
119,2024-10-08,Bills,Credit Card,electricity bill Castro-Moore,22.53,0.13
