,Date,Category,Payment Mode,Description,Amount,Cashback
58,2024-09-01,Shopping,UPI,electronics flipkart Flores PLC,818.89,1.44
59,2024-09-12,Shopping,UPI,Shoes nike Bryant-Henderson,535.69,0.18
60,2024-09-22,Subscriptions,Credit Card,SonyLiv Salazar PLC,404.16,4.27
61,2024-09-17,Bills,Cash,electricity bill Perkins-Moreno,906.46,0.0
62,2024-09-01,Groceries,Credit Card,Rice 5 kg Garcia-Roberts,287.78,0.47
63,2024-09-23,Transport,Cash,"bus fare to Sanchez, Patterson and Reed",42.33,0.0
64,2024-09-20,Medicine,Credit Card,Bitadine Leblanc-Gilmore,180.82,4.8
65,2024-09-10,Subscriptions,Debit Card,"Netflix Salazar, Harrison and Fisher",935.58,0.0
66,2024-09-14,Shopping,Debit Card,electronics flipkart Porter Ltd,738.76,0.0
67,2024-09-01,Subscriptions,Credit Card,audible Spencer-Alexander,151.11,0.39
68,2024-09-16,Subscriptions,UPI,Netflix Nguyen and Sons,480.54,1.66
69,2024-09-06,Subscriptions,UPI,audible Hernandez LLC,520.59,4.9
70,2024-09-27,entertainment,Cash,concert White-Evans,838.58,0.0
71,2024-09-05,Transport,Debit Card,bus fare to Morris Group,530.51,0.0
72,2024-09-07,Groceries,UPI,"Oil 5 lit Flores, Andrade and Thomas",406.3,3.92
73,2024-09-26,Subscriptions,Cash,audible Rodriguez LLC,90.78,0.0
74,2024-09-15,Transport,Cash,"fuel at Hutchinson, Ortega and Murray",649.94,0.0
75,2024-09-17,Transport,UPI,"train ticket to Love, Dorsey and Gonzales",272.21,3.44
76,2024-09-27,entertainment,Cash,"Games Love, Hendricks and Brown",859.01,0.0
77,2024-09-20,Transport,UPI,taxi ride to Noble-Stephens,181.33,4.1
78,2024-09-01,Transport,Debit Card,train ticket to Morton and Sons,320.11,0.0
79,2024-09-28,Shopping,Cash,clothes Myntra Scott-Garcia,990.99,0.0
80,2024-09-04,Medicine,Cash,Antacid Wilson and Sons,642.27,0.0
81,2024-09-17,Subscriptions,Debit Card,"Prime Cisneros, Lewis and Hogan",15.51,0.0
82,2024-09-17,Bills,Debit Card,gas bill Poole Ltd,416.09,0.0
83,2024-09-02,Shopping,UPI,electronics flipkart Mccormick-Mcdonald,880.5,3.2
84,2024-09-01,Shopping,Debit Card,electronics flipkart Hayes Inc,85.53,0.0
85,2024-09-02,Shopping,Debit Card,clothes Myntra Martinez-Martinez,241.59,0.0
86,2024-09-09,Shopping,Cash,Shoes nike Baker PLC,607.2,0.0
87,2024-09-04,Transport,Credit Card,"fuel at Peters, Johnson and Miller",217.05,4.81
88,2024-09-02,Groceries,Credit Card,Oil 5 lit Werner Group,860.19,3.74
89,2024-09-19,Medicine,Debit Card,Digine Gonzalez LLC,636.95,0.0
90,2024-09-15,Medicine,UPI,Antacid Sims Inc,764.82,1.23
91,2024-09-07,entertainment,UPI,"Games Lopez, Ramirez and Tran",40.07,2.01
92,2024-09-24,Shopping,Debit Card,"gifts local Chavez, Vazquez and Walton",655.75,0.0
93,2024-09-13,Groceries,Cash,Aatta 5kg Bailey-Nelson,296.18,0.0
94,2024-09-09,entertainment,Credit Card,"Games Russell, Perez and Clayton",992.58,3.0
95,2024-09-11,Transport,Debit Card,taxi ride to Martin-Sloan,665.61,0.0
96,2024-09-26,Bills,Credit Card,internet bill Valenzuela Inc,384.89,2.22
97,2024-09-06,Shopping,Cash,clothes Myntra White-Ortiz,215.4,0.0
98,2024-09-02,Transport,Debit Card,fuel at George LLC,184.19,0.0
99,2024-09-29,Subscriptions,UPI,SonyLiv Mitchell PLC,745.47,1.12
100,2024-09-18,Shopping,Cash,"gifts local Cohen, Ray and Gonzales",904.78,0.0
101,2024-09-18,Transport,Cash,fuel at Hernandez-Howard,964.43,0.0
102,2024-09-14,Subscriptions,Cash,"Netflix Quinn, Smith and Tate",11.7,0.0
103,2024-09-17,Groceries,Cash,Aatta 5kg Baker Inc,631.74,0.0
104,2024-09-10,entertainment,UPI,Movie Kim-Sanchez,65.99,3.76
105,2024-09-22,Bills,Debit Card,gas bill Stevenson-Dean,870.25,0.0
106,2024-09-12,Subscriptions,Cash,Prime Jones PLC,980.93,0.0
107,2024-09-28,Medicine,Debit Card,"Paracetamol Ward, Meyers and Quinn",577.66,0.0
108,2024-09-13,Shopping,Debit Card,gifts local Johnson PLC,813.61,0.0
109,2024-09-21,Transport,UPI,train ticket to Vargas and Sons,208.3,3.24
110,2024-09-13,Subscriptions,Credit Card,audible Castillo-Mckinney,52.0,4.84
111,2024-09-09,entertainment,Debit Card,concert Fields and Sons,56.42,0.0
112,2024-09-20,Bills,Cash,phone bill Murray Ltd,759.29,0.0
113,2024-09-25,entertainment,Cash,Movie Brown PLC,965.59,0.0
114,2024-09-16,Groceries,Credit Card,Aatta 5kg Pena Ltd,659.23,0.37
115,2024-09-23,Groceries,Debit Card,"Aatta 5kg Schultz, Leonard and Thomas",642.37,0.0
116,2024-09-25,Subscriptions,Cash,audible Byrd-Soto,446.1,0.0
117,2024-09-25,entertainment,UPI,Games Rios Group,215.78,0.28
118,2024-09-23,Groceries,Debit Card,Oil 5 lit Young-Bailey,730.48,0.0
119,2024-09-18,Shopping,Debit Card,"Shoes nike Silva, Woods and Hunter",591.35,0.0
